date,value
2017-01-01 00:01:00,72.7
2017-01-01 00:03:00,77.8
2017-01-01 00:04:05,75.0
2017-01-01 00:05:37,66.9
2017-01-01 00:07:00,69.1
2017-01-01 00:09:00,88.9
2017-01-01 00:10:00,83.5
2017-01-01 00:11:08,88.8
2017-01-01 00:13:00,81.3
2017-01-01 00:14:13,90.0
2017-01-01 00:15:34,84.7
2017-01-01 00:16:57,91.0
2017-01-01 00:18:00,82.6
2017-01-01 00:19:00,85.4
2017-01-01 00:20:43,81.1
2017-01-01 00:22:00,78.5
2017-01-01 00:23:00,84.9
2017-01-01 00:24:00,75.3
2017-01-01 00:25:49,77.1
2017-01-01 00:27:00,86.0
2017-01-01 00:28:00,83.5
2017-01-01 00:29:55,66.0
2017-01-01 00:31:00,68.2
2017-01-01 00:32:19,73.1
2017-01-01 00:33:23,74.1
2017-01-01 00:35:00,62.6
2017-01-01 00:36:00,68.1
2017-01-01 00:37:15,67.6
2017-01-01 00:39:00,62.3
2017-01-01 00:41:00,77.5
2017-01-01 00:43:00,77.0
2017-01-01 00:44:03,76.7
2017-01-01 00:45:37,70.0
2017-01-01 00:46:59,68.1
2017-01-01 00:48:00,77.0
2017-01-01 00:49:00,74.4
2017-01-01 00:51:00,81.7
2017-01-01 00:52:00,82.0
2017-01-01 00:53:00,82.4
2017-01-01 00:54:18,80.2
2017-01-01 00:55:23,76.2
2017-01-01 00:56:24,76.5
2017-01-01 01:01:22,75.0
2017-01-01 00:57:50,77.8
2017-01-01 00:59:00,78.8
2017-01-01 01:00:22,79.8
2017-01-01 01:03:00,81.4
2017-01-01 01:04:56,89.5
2017-01-01 01:06:00,87.1
2017-01-01 01:07:37,86.9
2017-01-01 01:08:58,85.5
2017-01-01 01:10:00,78.3
2017-01-01 01:11:02,75.3
2017-01-01 01:13:00,82.0
2017-01-01 01:14:01,71.6
2017-01-01 01:15:18,80.3
2017-01-01 01:17:00,81.6
2017-01-01 01:18:00,86.6
2017-01-01 01:20:00,70.0
2017-01-01 01:21:00,75.8
2017-01-01 01:22:00,74.8
2017-01-01 01:23:00,73.4
2017-01-01 01:24:59,68.9
2017-01-01 01:26:00,70.5
2017-01-01 01:27:03,132.9
2017-01-01 01:28:44,128.9
2017-01-01 01:29:51,132.7
2017-01-01 01:30:55,130.6
2017-01-01 01:31:59,136.5
2017-01-01 01:33:00,129.1
2017-01-01 01:34:34,127.3
2017-01-01 01:36:00,128.0
2017-01-01 01:38:00,132.2
2017-01-01 01:39:28,133.2
2017-01-01 01:41:00,132.4
2017-01-01 01:42:10,131.2
2017-01-01 01:43:33,133.7
2017-01-01 01:44:38,134.5
2017-01-01 01:46:00,133.0
2017-01-01 01:47:00,132.8
2017-01-01 01:48:58,112.2
2017-01-01 01:50:00,107.5
2017-01-01 01:51:15,98.7
2017-01-01 01:52:45,98.7
2017-01-01 01:53:46,97.1
2017-01-01 01:55:00,86.6
2017-01-01 01:56:00,52.5
2017-01-01 01:57:22,55.0
2017-01-01 01:58:43,58.0
2017-01-01 01:59:48,27.1
2017-01-01 02:01:00,41.4
2017-01-01 02:02:39,40.2
2017-01-01 02:03:41,38.6
2017-01-01 02:04:50,45.3
2017-01-01 02:06:00,43.8
2017-01-01 02:07:05,39.1
2017-01-01 02:08:07,35.8
2017-01-01 02:09:20,39.6
2017-01-01 02:10:36,38.9
2017-01-01 02:11:41,37.1
2017-01-01 02:13:00,39.7
2017-01-01 02:14:00,40.5
2017-01-01 02:15:04,50.2
2017-01-01 02:16:18,47.3
2017-01-01 02:17:46,55.0
2017-01-01 02:19:00,43.3
2017-01-01 02:20:37,44.6
2017-01-01 02:22:00,42.6
2017-01-01 02:23:02,41.3
2017-01-01 02:24:08,42.5
2017-01-01 02:25:09,31.1
2017-01-01 02:27:00,40.3
2017-01-01 02:28:00,41.8
2017-01-01 02:29:00,46.0
2017-01-01 02:30:00,34.0
2017-01-01 02:31:27,38.5
2017-01-01 02:32:56,39.2
2017-01-01 02:34:00,31.8
2017-01-01 02:35:00,34.2
2017-01-01 02:36:17,37.8
2017-01-01 02:37:26,37.5
2017-01-01 02:38:27,39.9
2017-01-01 02:39:51,44.9
2017-01-01 02:41:00,42.4
2017-01-01 02:42:00,36.8
2017-01-01 02:43:17,38.6
2017-01-01 02:44:24,34.3
2017-01-01 02:45:46,39.9
2017-01-01 02:47:00,40.7
2017-01-01 02:48:16,40.8
2017-01-01 02:50:00,42.0
2017-01-01 02:52:00,39.4
2017-01-01 03:10:00,47.3
2017-01-01 02:53:00,43.6
2017-01-01 02:54:11,37.7
2017-01-01 02:55:38,39.6
2017-01-01 02:56:59,42.7
2017-01-01 02:58:00,42.7
2017-01-01 02:59:00,56.4
2017-01-01 03:00:00,49.1
2017-01-01 03:01:00,49.6
2017-01-01 03:02:15,58.6
2017-01-01 03:03:18,54.0
2017-01-01 03:04:50,46.6
2017-01-01 03:05:55,50.7
2017-01-01 03:07:00,48.0
2017-01-01 03:08:00,51.2
2017-01-01 03:11:00,45.7
2017-01-01 03:12:45,52.2
2017-01-01 03:13:59,44.7
2017-01-01 03:15:00,46.8
2017-01-01 03:16:00,52.8
2017-01-01 03:17:43,65.0
2017-01-01 03:19:00,61.2
2017-01-01 03:20:14,49.6
2017-01-01 03:21:48,47.4
2017-01-01 03:23:00,41.5
2017-01-01 03:24:00,43.5
2017-01-01 03:25:09,45.5
2017-01-01 03:26:19,41.1
2017-01-01 03:27:38,40.0
2017-01-01 03:28:54,47.2
2017-01-01 03:30:00,42.2
2017-01-01 03:31:19,45.7
2017-01-01 03:32:54,44.9
2017-01-01 03:34:00,36.2
2017-01-01 03:35:00,35.5
2017-01-01 03:38:39,38.9
2017-01-01 03:36:00,38.7
2017-01-01 03:37:18,44.5
2017-01-01 03:40:00,43.5
2017-01-01 03:41:01,45.8
2017-01-01 03:42:08,46.2
2017-01-01 03:43:36,46.8
2017-01-01 03:44:48,50.9
2017-01-01 03:46:00,52.3
2017-01-01 03:47:09,48.8
2017-01-01 03:48:42,53.1
2017-01-01 03:49:56,49.7
2017-01-01 03:50:59,48.6
2017-01-01 03:52:00,56.7
2017-01-01 03:53:27,57.4
2017-01-01 03:55:00,57.5
2017-01-01 03:56:00,49.3
2017-01-01 03:57:00,44.7
2017-01-01 03:59:00,46.1
2017-01-01 04:00:00,53.3
2017-01-01 04:01:17,51.9
2017-01-01 04:02:22,52.2
2017-01-01 04:03:34,62.4
2017-01-01 04:04:36,62.5
2017-01-01 04:05:51,52.3
2017-01-01 04:07:00,58.3
2017-01-01 04:08:21,52.9
2017-01-01 04:09:29,56.2
2017-01-01 04:10:54,53.5
2017-01-01 04:12:00,54.5
2017-01-01 04:13:25,52.7
2017-01-01 04:14:37,52.6
2017-01-01 04:15:47,45.9
2017-01-01 04:16:55,56.1
2017-01-01 04:18:00,64.0
2017-01-01 04:19:00,56.7
2017-01-01 04:20:00,59.1
2017-01-01 04:21:00,61.5
2017-01-01 04:22:00,59.2
2017-01-01 04:23:23,66.2
2017-01-01 04:24:39,66.3
2017-01-01 04:26:00,63.1
2017-01-01 04:27:47,56.0
2017-01-01 04:29:00,51.9
2017-01-01 04:30:00,57.8
2017-01-01 04:31:18,58.3
2017-01-01 04:32:32,73.8
2017-01-01 04:33:53,79.6
2017-01-01 04:34:57,76.2
2017-01-01 04:36:00,82.6
2017-01-01 04:37:01,76.4
2017-01-01 04:38:15,81.8
2017-01-01 04:39:32,62.1
2017-01-01 04:41:00,59.8
2017-01-01 04:43:00,58.5
2017-01-01 04:44:25,61.5
2017-01-01 04:45:35,58.1
2017-01-01 04:46:42,49.1
2017-01-01 04:47:45,58.4
2017-01-01 04:49:00,58.3
2017-01-01 04:51:00,60.1
2017-01-01 04:53:00,65.7
2017-01-01 04:54:00,63.2
2017-01-01 04:55:00,67.4
2017-01-01 04:56:00,65.6
2017-01-01 04:57:35,58.0
2017-01-01 04:59:00,60.3
2017-01-01 05:00:04,71.2
2017-01-01 05:01:39,72.7
2017-01-01 05:03:00,77.5
2017-01-01 05:04:17,84.1
2017-01-01 05:05:45,89.1
2017-01-01 05:06:49,85.7
2017-01-01 05:08:00,84.9
2017-01-01 05:09:04,85.0
2017-01-01 05:10:08,77.6
2017-01-01 05:12:00,76.4
2017-01-01 05:13:40,88.5
2017-01-01 05:14:44,82.2
2017-01-01 05:15:51,80.7
2017-01-01 05:17:00,84.8
2017-01-01 05:18:16,87.1
2017-01-01 05:19:39,85.6
2017-01-01 05:21:00,89.6
2017-01-01 05:22:00,96.1
2017-01-01 05:23:00,106.6
2017-01-01 05:24:05,108.9
2017-01-01 05:26:00,98.4
2017-01-01 05:27:01,92.3
2017-01-01 05:28:11,95.9
2017-01-01 05:29:57,91.0
2017-01-01 05:31:00,93.2
2017-01-01 05:32:04,95.6
2017-01-01 05:33:29,90.2
2017-01-01 05:35:00,83.7
2017-01-01 05:36:00,81.3
2017-01-01 05:38:00,85.6
